378	 379	 377
348	 353	 343
346	 352	 340
344	 350	 339
344	 351	 337
340	 347	 333
335	 343	 327
332	 340	 324
332	 341	 324
331	 341	 322
329	 338	 321
327	 337	 317
320	 330	 310
169	 181	 158
181	 191	 172
187	 197	 177
190	 201	 179
190	 200	 180
191	 202	 181
190	 202	 179
192	 203	 182
195	 205	 185
197	 208	 186
195	 207	 184
184	 196	 173
177	 187	 167
185	 195	 175
191	 201	 181
194	 205	 183
193	 203	 184
181	 191	 171
179	 188	 170
190	 178	 203
203	 186	 220
214	 194	 235
218	 203	 233
211	 203	 219
221	 219	 223
235	 235	 236
245	 248	 242
250	 253	 248
253	 256	 250
236	 240	 232
235	 240	 231
248	 253	 243
257	 263	 251
263	 269	 257
263	 270	 257
258	 265	 251
263	 270	 256
273	 281	 265
274	 282	 266
276	 285	 268
275	 283	 268
260	 269	 251
258	 266	 251
271	 278	 264
279	 288	 270
283	 291	 276
284	 293	 276
266	 274	 258
382	 406	 358
401	 418	 384
411	 426	 396
416	 432	 401
418	 432	 404
159	 187	 132
148	 159	 138
156	 192	 121
164	 211	 117
170	 220	 121
172	 221	 123
162	 212	 113
161	 199	 123
177	 202	 152
186	 208	 165
192	 212	 172
194	 212	 176
182	 199	 166
178	 193	 163
186	 202	 170
193	 208	 178
201	 219	 184
199	 214	 185
193	 207	 179
197	 212	 182
205	 223	 187
202	 216	 188
204	 218	 191
204	 218	 190
202	 216	 189
200	 215	 186
204	 216	 192
207	 221	 194
211	 224	 199
210	 223	 197
210	 223	 197
210	 223	 198
211	 223	 199
213	 226	 201
215	 228	 202
214	 226	 202
211	 224	 199
203	 215	 192
212	 224	 200
215	 227	 203
219	 231	 207
219	 231	 207
205	 217	 193
205	 217	 194
216	 228	 205
225	 239	 211
227	 239	 216
225	 238	 213
218	 228	 208
212	 223	 201
224	 237	 211
230	 241	 220
231	 243	 220
232	 244	 220
231	 243	 220
233	 242	 225
232	 243	 222
234	 245	 224
236	 248	 225
234	 246	 223
225	 235	 215
227	 239	 216
